98781,fixed_location_8_delay,NA,4,demographics,NA,4925.33,NA,NA,NA,NA,NA,23983,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,"{""Gender"":""female"",""Age"":""18""}",24691
98781,fixed_location_8_delay,0,9,practice_rdk,2,4156.5,NA,NA,NA,NA,NA,59011,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,0,11,rdk,NA,4343.01,180,0.5,88,25839,NA,63363,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,0,13,rdk,NA,836.2,0,0.5,88,21489,1,64709,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,0,15,practice_rdk,7,3317.19,NA,NA,NA,NA,NA,68030,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,0,17,rdk,NA,2527.64,0,0.7,88,17327,1,70566,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,0,19,practice_rdk,6,1997.24,NA,NA,NA,NA,NA,72569,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,0,21,rdk,NA,2007.955,180,0.6,90,12793,1,74583,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,0,23,practice_rdk,4,2344.765,NA,NA,NA,NA,NA,76932,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,0,25,rdk,NA,3273.85,180,0.1,88,8434,NA,80215,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,0,27,rdk,NA,3498.74,180,0.1,90,5155,1,84223,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,0,29,practice_rdk,NA,NA,NA,NA,NA,NA,NA,85880,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,34,practice_rdk,7,3292.78,NA,NA,NA,NA,NA,94969,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,36,rdk,NA,1214.125,0,0.7,88,26702,1,96191,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,38,practice_rdk,6,1448.54,NA,NA,NA,NA,NA,97643,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,40,rdk,NA,3212.11,0,0.6,90,24032,NA,100862,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,42,rdk,NA,2739.36,180,0.6,90,20817,1,104111,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,44,practice_rdk,5,3424.695,NA,NA,NA,NA,NA,107540,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,46,rdk,NA,1221.785,180,0.8,90,14643,1,108767,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,48,practice_rdk,4,2385.39,NA,NA,NA,NA,NA,111157,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,50,rdk,NA,2314.84,180,0.1,88,11031,NA,113478,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,52,rdk,NA,2125.51,0,0.1,90,8713,NA,116111,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,54,rdk,NA,1807.31,0,0.1,90,6583,NA,118427,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,56,rdk,NA,1131.095,0,0.1,88,4770,1,120070,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,58,practice_rdk,1,1124.8,NA,NA,NA,NA,NA,121199,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,60,rdk,NA,1096.605,0,0.4,88,2509,1,122303,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,62,practice_rdk,0,1122.95,NA,NA,NA,NA,NA,123431,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,1,64,rdk,NA,-1,180,0.2,-1,283,NA,123722,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,2,69,practice_rdk,1,1436.445,NA,NA,NA,NA,NA,132268,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,2,71,rdk,NA,831.575,0,0.4,88,28559,1,133110,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,2,73,practice_rdk,0,1084.39,NA,NA,NA,NA,NA,134198,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
98781,fixed_location_8_delay,2,75,rdk,NA,1291.45,180,0.2,90,26635,1,135496,0.2,0.4,0.5,0.3,0.1,0.8,0.6,0.7,NA,24691
