22932,fixed_pixel,NA,2,demographics,NA,NA,8367.3,NA,NA,NA,NA,NA,344374,2,4,3,1,"{""Gender"":""Male"",""Age"":""29""}",93856
22932,fixed_pixel,0,7,practice_pix,0,2,2294.4,NA,NA,NA,NA,NA,451793,2,4,3,1,NA,93856
22932,fixed_pixel,0,9,subtask,NA,NA,248.4,dark,2,x,NA,1,452043,2,4,3,1,NA,93856
22932,fixed_pixel,0,11,practice_pix,1,4,1137.8,NA,NA,NA,NA,NA,453182,2,4,3,1,NA,93856
22932,fixed_pixel,0,13,subtask,NA,NA,214.9,light,4,z,NA,1,453398,2,4,3,1,NA,93856
22932,fixed_pixel,0,15,practice_pix,2,3,1002.9,NA,NA,NA,NA,NA,454402,2,4,3,1,NA,93856
22932,fixed_pixel,0,17,subtask,NA,NA,280.6999999,dark,3,x,NA,1,454684,2,4,3,1,NA,93856
22932,fixed_pixel,0,19,practice_pix,3,1,543.8,NA,NA,NA,NA,NA,455229,2,4,3,1,NA,93856
22932,fixed_pixel,0,21,subtask,NA,NA,772.9,dark,1,z,NA,0,456003,2,4,3,1,NA,93856
22932,fixed_pixel,0,23,subtask,NA,NA,2884.2,dark,1,x,NA,1,459389,2,4,3,1,NA,93856
22932,fixed_pixel,1,28,practice_pix,0,2,842.9,NA,NA,NA,NA,NA,469815,2,4,3,1,NA,93856
22932,fixed_pixel,1,30,subtask,NA,NA,959.7,light,2,z,NA,1,470776,2,4,3,1,NA,93856
22932,fixed_pixel,1,32,practice_pix,1,4,485.8,NA,NA,NA,NA,NA,471263,2,4,3,1,NA,93856
22932,fixed_pixel,1,34,subtask,NA,NA,602,dark,4,x,NA,1,471866,2,4,3,1,NA,93856
22932,fixed_pixel,1,36,practice_pix,2,3,497.1,NA,NA,NA,NA,NA,472364,2,4,3,1,NA,93856
22932,fixed_pixel,1,38,subtask,NA,NA,608.5,dark,3,x,NA,1,472974,2,4,3,1,NA,93856
22932,fixed_pixel,1,40,practice_pix,3,1,450.6,NA,NA,NA,NA,NA,473426,2,4,3,1,NA,93856
22932,fixed_pixel,1,42,subtask,NA,NA,561,dark,1,x,NA,1,473988,2,4,3,1,NA,93856
22932,fixed_pixel,2,47,practice_pix,0,2,510.5,NA,NA,NA,NA,NA,483937,2,4,3,1,NA,93856
22932,fixed_pixel,2,49,subtask,NA,NA,1611.1,light,2,z,NA,1,485549,2,4,3,1,NA,93856
22932,fixed_pixel,2,51,practice_pix,1,4,501.9,NA,NA,NA,NA,NA,486052,2,4,3,1,NA,93856
22932,fixed_pixel,2,53,subtask,NA,NA,707.9,light,4,x,NA,0,486761,2,4,3,1,NA,93856
22932,fixed_pixel,2,55,subtask,NA,NA,1622.2,dark,4,x,NA,1,488885,2,4,3,1,NA,93856
22932,fixed_pixel,2,57,practice_pix,2,3,542.4,NA,NA,NA,NA,NA,489429,2,4,3,1,NA,93856
22932,fixed_pixel,2,59,subtask,NA,NA,1163,light,3,x,NA,0,490593,2,4,3,1,NA,93856
22932,fixed_pixel,2,61,subtask,NA,NA,1091.7,dark,3,x,NA,1,492186,2,4,3,1,NA,93856
22932,fixed_pixel,2,63,practice_pix,3,1,762.6,NA,NA,NA,NA,NA,492950,2,4,3,1,NA,93856
22932,fixed_pixel,2,65,subtask,NA,NA,753.8,dark,1,x,NA,1,493705,2,4,3,1,NA,93856
22932,fixed_pixel,3,70,practice_pix,0,2,631.6999999,NA,NA,NA,NA,NA,499553,2,4,3,1,NA,93856
22932,fixed_pixel,3,72,subtask,NA,NA,1225.2,light,2,z,NA,1,500779,2,4,3,1,NA,93856
22932,fixed_pixel,3,74,practice_pix,1,4,373.8,NA,NA,NA,NA,NA,501154,2,4,3,1,NA,93856
22932,fixed_pixel,3,76,subtask,NA,NA,838.9,light,4,z,NA,1,501994,2,4,3,1,NA,93856
22932,fixed_pixel,3,78,practice_pix,2,3,441.4,NA,NA,NA,NA,NA,502437,2,4,3,1,NA,93856
22932,fixed_pixel,3,80,subtask,NA,NA,516.1,dark,3,x,NA,1,502954,2,4,3,1,NA,93856
22932,fixed_pixel,3,82,practice_pix,3,1,439.9,NA,NA,NA,NA,NA,503395,2,4,3,1,NA,93856
22932,fixed_pixel,3,84,subtask,NA,NA,355.9,dark,1,x,NA,1,503752,2,4,3,1,NA,93856
22932,fixed_pixel,4,89,practice_pix,0,2,598.3,NA,NA,NA,NA,NA,511921,2,4,3,1,NA,93856
22932,fixed_pixel,4,91,subtask,NA,NA,814.9,dark,2,x,NA,1,512737,2,4,3,1,NA,93856
22932,fixed_pixel,4,93,practice_pix,1,4,366.6999999,NA,NA,NA,NA,NA,513105,2,4,3,1,NA,93856
22932,fixed_pixel,4,95,subtask,NA,NA,659.1,light,4,z,NA,1,513765,2,4,3,1,NA,93856
22932,fixed_pixel,4,97,practice_pix,2,3,403.8,NA,NA,NA,NA,NA,514170,2,4,3,1,NA,93856
22932,fixed_pixel,4,99,subtask,NA,NA,390.8,dark,3,x,NA,1,514562,2,4,3,1,NA,93856
22932,fixed_pixel,4,101,practice_pix,3,1,426,NA,NA,NA,NA,NA,514989,2,4,3,1,NA,93856
22932,fixed_pixel,4,103,subtask,NA,NA,519,light,1,z,NA,1,515509,2,4,3,1,NA,93856
22932,fixed_pixel,5,108,practice_pix,0,2,553.8,NA,NA,NA,NA,NA,522072,2,4,3,1,NA,93856
22932,fixed_pixel,5,110,subtask,NA,NA,675.3000001,dark,2,x,NA,1,522748,2,4,3,1,NA,93856
